Sepal length,Sepal width,petal length,petal width,Class,Class,,,
6,3.4,4.5,1.6,2,Iris-versicolor,0.694487033,,
6.1,2.8,4.7,1.2,2,Iris-versicolor,0.565365602,,
7.9,3.8,6.4,2,3,Iris-virginica,0.848524131,,
7.7,3,6.1,2.3,3,Iris-virginica,0.127988254,,
6,3,4.8,1.8,3,Iris-virginica,0.073700281,,
6,2.2,5,1.5,3,Iris-virginica,0.167781659,,
5.5,3.5,1.3,0.2,1,Iris-setosa,0.786280904,,
5.1,3.7,1.5,0.4,1,Iris-setosa,0.834098842,,
5.5,2.5,4,1.3,2,Iris-versicolor,0.714889661,,
7.2,3.2,6,1.8,3,Iris-virginica,0.361602868,,
5,3.3,1.4,0.2,1,Iris-setosa,0.824021579,,
5,3,1.6,0.2,1,Iris-setosa,0.048540209,,
6.4,3.2,5.3,2.3,3,Iris-virginica,0.365704084,,
5.2,3.4,1.4,0.2,1,Iris-setosa,0.69591252,,
5.1,3.5,1.4,0.2,1,Iris-setosa,0.474130992,Iris-setosa,1
4.6,3.2,1.4,0.2,1,Iris-setosa,0.754599815,,
5.4,3,4.5,1.5,2,Iris-versicolor,0.763535406,,
6.4,2.8,5.6,2.2,3,Iris-virginica,0.53997295,,
6.7,3,5.2,2.3,3,Iris-virginica,0.051325582,,
6.9,3.2,5.7,2.3,3,Iris-virginica,0.617839916,,
4.9,3,1.4,0.2,1,Iris-setosa,0.316753693,Iris-versicolor,2
5.1,3.4,1.5,0.2,1,Iris-setosa,0.942768774,,
4.4,2.9,1.4,0.2,1,Iris-setosa,0.338578741,,
5.9,3.2,4.8,1.8,2,Iris-versicolor,0.705314852,,
6.1,3,4.6,1.4,2,Iris-versicolor,0.382084309,,
4.6,3.4,1.4,0.3,1,Iris-setosa,0.812538464,,
4.8,3,1.4,0.3,1,Iris-setosa,0.79170206,,
5.6,2.7,4.2,1.3,2,Iris-versicolor,0.92546203,,
6.7,3,5,1.7,2,Iris-versicolor,0.179103604,,
6.4,3.2,4.5,1.5,2,Iris-versicolor,0.634931352,,
6.1,2.9,4.7,1.4,2,Iris-versicolor,0.335453693,,
6.9,3.1,4.9,1.5,2,Iris-versicolor,0.273387865,,
6.2,3.4,5.4,2.3,3,Iris-virginica,0.525634733,,
4.9,3.1,1.5,0.1,1,Iris-setosa,0.001206207,,
5.1,3.8,1.6,0.2,1,Iris-setosa,0.469315329,,
4.8,3,1.4,0.1,1,Iris-setosa,0.410550388,,
6.8,2.8,4.8,1.4,2,Iris-versicolor,0.997343756,,
5.8,4,1.2,0.2,1,Iris-setosa,0.284050697,,
4.8,3.4,1.9,0.2,1,Iris-setosa,0.28392198,,
7.7,2.6,6.9,2.3,3,Iris-virginica,0.247272642,,
5.7,2.8,4.5,1.3,2,Iris-versicolor,0.774222785,,
4.9,3.1,1.5,0.1,1,Iris-setosa,0.134592255,,
7.6,3,6.6,2.1,3,Iris-virginica,0.810664301,,
6.6,3,4.4,1.4,2,Iris-versicolor,0.606388981,,
7,3.2,4.7,1.4,2,Iris-versicolor,0.140823611,,
6.6,2.9,4.6,1.3,2,Iris-versicolor,0.027600873,,
6.4,2.9,4.3,1.3,2,Iris-versicolor,0.665733837,,
6.5,3,5.8,2.2,3,Iris-virginica,0.493790896,,
5.1,3.5,1.4,0.3,1,Iris-setosa,0.853861665,,
6,2.9,4.5,1.5,2,Iris-versicolor,0.838594046,,
6.3,3.3,6,2.5,3,Iris-virginica,0.546941595,,
4.3,3,1.1,0.1,1,Iris-setosa,0.037233059,,
5.1,3.8,1.5,0.3,1,Iris-setosa,0.054165816,,
6.9,3.1,5.4,2.1,3,Iris-virginica,0.059655203,,
5.6,2.5,3.9,1.1,2,Iris-versicolor,0.09098548,,
4.9,3.1,1.5,0.1,1,Iris-setosa,0.817659727,,
7.4,2.8,6.1,1.9,3,Iris-virginica,0.508036314,,
6.5,2.8,4.6,1.5,2,Iris-versicolor,0.589798146,,
7.2,3.6,6.1,2.5,3,Iris-virginica,0.713692801,,
6.4,2.7,5.3,1.9,3,Iris-virginica,0.734415811,,
4.4,3,1.3,0.2,1,Iris-setosa,0.191954243,,
5,2.3,3.3,1,2,Iris-versicolor,0.031915179,,
5.5,2.6,4.4,1.2,2,Iris-versicolor,0.617026638,,
5.4,3.4,1.5,0.4,1,Iris-setosa,0.278798598,,
6.2,2.2,4.5,1.5,2,Iris-versicolor,0.293963461,,
5.8,2.6,4,1.2,2,Iris-versicolor,0.440454087,,
4.7,3.2,1.3,0.2,1,Iris-setosa,0.198666795,Iris-virginica,3
5.7,3.8,1.7,0.3,1,Iris-setosa,0.152161207,,
5.8,2.8,5.1,2.4,3,Iris-virginica,0.2080523,,
6.3,2.8,5.1,1.5,3,Iris-virginica,0.067951359,,
5.1,3.3,1.7,0.5,1,Iris-setosa,0.170678816,,
5,3.4,1.6,0.4,1,Iris-setosa,0.814591824,,
5.4,3.9,1.3,0.4,1,Iris-setosa,0.345038661,,
6.7,3.3,5.7,2.5,3,Iris-virginica,0.526792487,,
6.3,2.5,5,1.9,3,Iris-virginica,0.11061164,,
7.7,2.8,6.7,2,3,Iris-virginica,0.014707538,,
6.7,2.5,5.8,1.8,3,Iris-virginica,0.807103052,,
6.5,3.2,5.1,2,3,Iris-virginica,0.430475096,,
6.4,3.1,5.5,1.8,3,Iris-virginica,0.825690923,,
5.7,4.4,1.5,0.4,1,Iris-setosa,0.543764426,,
5,3.4,1.5,0.2,1,Iris-setosa,0.708550133,,
4.8,3.1,1.6,0.2,1,Iris-setosa,0.388009639,,
5.8,2.7,5.1,1.9,3,Iris-virginica,0.343624399,,
5.2,2.7,3.9,1.4,2,Iris-versicolor,0.030188862,,
4.5,2.3,1.3,0.3,1,Iris-setosa,0.242439042,,
5.6,2.9,3.6,1.3,2,Iris-versicolor,0.237507969,,
5.7,2.9,4.2,1.3,2,Iris-versicolor,0.377990758,,
6,2.7,5.1,1.6,2,Iris-versicolor,0.392105553,,
5,2,3.5,1,2,Iris-versicolor,0.208488493,,
5.7,2.5,5,2,3,Iris-virginica,0.216344922,,
5.4,3.9,1.7,0.4,1,Iris-setosa,0.905290483,,
4.9,2.4,3.3,1,2,Iris-versicolor,0.950862101,,
7.2,3,5.8,1.6,3,Iris-virginica,0.710643686,,
5.7,2.6,3.5,1,2,Iris-versicolor,0.561789711,,
5.5,4.2,1.4,0.2,1,Iris-setosa,0.827597669,,
5.4,3.7,1.5,0.2,1,Iris-setosa,0.50417996,,
6.1,3,4.9,1.8,3,Iris-virginica,0.051616924,,
6.3,2.7,4.9,1.8,3,Iris-virginica,0.274697377,,
6.3,2.9,5.6,1.8,3,Iris-virginica,0.534974583,,
5.8,2.7,4.1,1,2,Iris-versicolor,0.519326718,,
5.7,3,4.2,1.2,2,Iris-versicolor,0.953405984,,
6.3,3.4,5.6,2.4,3,Iris-virginica,0.845505947,,
7.1,3,5.9,2.1,3,Iris-virginica,0.113622714,,
5,3.6,1.4,0.2,1,Iris-setosa,0.624807988,,
6.7,3.1,5.6,2.4,3,Iris-virginica,0.943550451,,
4.9,2.5,4.5,1.7,3,Iris-virginica,0.601260669,,
5.2,3.5,1.5,0.2,1,Iris-setosa,0.240810327,,
6.3,2.3,4.4,1.3,2,Iris-versicolor,0.804960722,,
6,2.2,4,1,2,Iris-versicolor,0.430371545,,
4.6,3.6,1,0.2,1,Iris-setosa,0.149035296,,
5.3,3.7,1.5,0.2,1,Iris-setosa,0.604180124,,
5.5,2.3,4,1.3,2,Iris-versicolor,0.509801044,,
5.1,3.8,1.9,0.4,1,Iris-setosa,0.761324954,,
5.8,2.7,3.9,1.2,2,Iris-versicolor,0.495432662,,
4.7,3.2,1.6,0.2,1,Iris-setosa,0.938442473,,
6.7,3.3,5.7,2.1,3,Iris-virginica,0.033514804,,
6.1,2.6,5.6,1.4,3,Iris-virginica,0.63806528,,
5.6,3,4.5,1.5,2,Iris-versicolor,0.919002396,,
6.3,2.5,4.9,1.5,2,Iris-versicolor,0.260298304,,
5.6,3,4.1,1.3,2,Iris-versicolor,0.645517284,,
5,3.5,1.3,0.3,1,Iris-setosa,0.794607185,,
4.8,3.4,1.6,0.2,1,Iris-setosa,0.055807182,,
6.5,3,5.2,2,3,Iris-virginica,0.599906148,,
5.5,2.4,3.7,1,2,Iris-versicolor,0.336656483,,
5.2,4.1,1.5,0.1,1,Iris-setosa,0.269999889,,
5.7,2.8,4.1,1.3,2,Iris-versicolor,0.787283805,,
6.7,3.1,4.7,1.5,2,Iris-versicolor,0.274968023,,
5.1,2.5,3,1.1,2,Iris-versicolor,0.083336441,,
5.8,2.7,5.1,1.9,3,Iris-virginica,0.787981923,,
5,3.2,1.2,0.2,1,Iris-setosa,0.275204568,,
6.1,2.8,4,1.3,2,Iris-versicolor,0.366693651,,
7.3,2.9,6.3,1.8,3,Iris-virginica,0.493536445,,
6.4,2.8,5.6,2.1,3,Iris-virginica,0.649575932,,
6.2,2.8,4.8,1.8,3,Iris-virginica,0.290596568,,
5.5,2.4,3.8,1.1,2,Iris-versicolor,0.022952044,,
6.9,3.1,5.1,2.3,3,Iris-virginica,0.097376338,,
4.6,3.1,1.5,0.2,1,Iris-setosa,0.04407484,,
5.9,3,4.2,1.5,2,Iris-versicolor,0.36187597,,
5.9,3,5.1,1.8,3,Iris-virginica,0.584748506,,
6.8,3,5.5,2.1,3,Iris-virginica,0.481885033,,
5.4,3.4,1.7,0.2,1,Iris-setosa,0.045926099,,
4.4,3.2,1.3,0.2,1,Iris-setosa,0.38585478,,
7.7,3.8,6.7,2.2,3,Iris-virginica,0.004177612,,
6.5,3,5.5,1.8,3,Iris-virginica,0.794743747,,
6.3,3.3,4.7,1.6,2,Iris-versicolor,0.284549731,,
6.8,3.2,5.9,2.3,3,Iris-virginica,0.984575745,,
5,3.5,1.6,0.6,1,Iris-setosa,0.130687331,,
6.7,3.1,4.4,1.4,2,Iris-versicolor,0.641854469,,
5.6,2.8,4.9,2,3,Iris-virginica,0.326588414,,
6.2,2.9,4.3,1.3,2,Iris-versicolor,0.026857604,,
